date,name
2026-01-26,Republic Day
2026-02-15,Mahashivratri
2026-02-19,Chhatrapati Shivaji Maharaj Jayanti
2026-03-03,Holi (Second Day)
2026-03-19,Gudhi Padwa
2026-03-21,Ramzan-Id (Id-Ul-Fitra) (Shawal-1)
2026-03-26,Ram Navami
2026-03-31,Mahavir Janmakalyanak
2026-04-03,Good Friday
2026-04-14,Dr. Babasaheb Ambedkar Jayanti
2026-05-01,Maharashtra Din
2026-05-01,Buddha Pournima
2026-05-28,Bakri Id (Id-Uz-Zuha)
2026-06-26,Moharum
2026-08-15,Independence Day
2026-08-15,Parsi New Year (Shahenshahi)
2026-08-26,Id-E-Milad
2026-09-14,Ganesh Chaturthi
2026-10-02,Mahatma Gandhi Jayanti
2026-10-20,Dasara
2026-11-08,Diwali Amavasya (Laxmi Pujan)
2026-11-10,Diwali (Bali Pratipada)
2026-11-24,Guru Nanak Jayanti
2026-12-25,Christmas
